Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Budda Baker*,ARI,23,FS,16,16,0,0,0,0,6,1,0,1,0,0,0.5,147,104,43,7,2,,BakeBu00
2,Zach Cunningham,HOU,25,RILB,16,16,0,0,0,0,2,0,0,2,24,0,2,142,99,43,7,3,,CunnZa00
3,Blake Martinez,GNB,25,LILB,16,16,1,22,0,22,2,1,0,0,0,0,3,155,97,58,5,3,,MartBl01
4,Eric Reid,CAR,28,SS,16,16,0,0,0,0,6,1,0,2,0,0,4,130,97,33,7,5,,ReidEr00
5,Jordan Hicks,ARI,27,RILB,16,16,3,64,0,48,6,2,0,1,0,0,1.5,150,93,57,11,7,,HickJo00
6,Joe Schobert,CLE,26,MLB,16,16,4,24,0,20,9,2,0,1,21,0,2,133,89,44,7,4,,SchoJo00
7,Fred Warner,SFO,23,MLB,16,16,1,46,1,46,9,3,0,0,0,0,3,118,89,29,7,5,,WarnFr00
8,Demario Davis+,NOR,30,LLB,16,16,1,1,0,1,12,,,,,0,4,111,87,24,11,9,,DaviDe00
9,Bobby Wagner*+,SEA,29,MLB,16,16,1,6,0,6,6,1,0,1,5,0,3,159,86,73,7,4,,WagnBo00
10,Anthony Walker,IND,24,MLB,16,16,1,0,0,0,2,1,0,0,0,0,2.5,124,84,40,6,3,,WalkAn01
11,Jaylon Smith*,DAL,24,MLB,16,16,1,0,0,0,9,2,0,1,6,0,2.5,142,83,59,6,3,,SmitJa05
12,Lavonte David,TAM,29,RILB,16,16,1,26,0,26,7,3,0,1,0,0,1,123,82,41,10,7,,DaviLa00
13,Tracy Walker,DET,24,FS,13,12,1,0,0,0,8,1,0,0,0,0,0,103,82,21,6,0,,WalkTr01
14,Antoine Bethea,NYG,35,FS,16,16,1,7,0,7,6,0,0,2,0,0,0,110,81,29,2,0,,BethAn20
15,Luke Kuechly*,CAR,28,RILB,16,16,2,26,0,25,12,,,,,0,0,144,81,63,4,5,1,KuecLu00
16,Shawn Williams,CIN,28,SS,16,15,1,12,0,12,3,,,,,0,1,114,80,34,5,3,,WillSh02
17,Tahir Whitehead,OAK,29,LLB,16,16,0,0,0,0,1,,,,,,0,108,79,29,6,1,,WhitTa00
18,Landon Collins,WAS,25,SS,15,15,0,0,0,0,4,2,0,0,0,0,1,117,78,39,9,3,,CollLa00
