Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Shaquille Leonard+,IND,23,LLB,15,15,2,38,0,28,8,4,1,2,0,0,7,163,111,52,12,8,,LeonDa00
2,Leighton Vander Esch*,DAL,22,RLB,16,11,2,56,0,28,7,,,,,0,0,140,102,38,2,1,,VandLe00
3,Antoine Bethea,ARI,34,FS,16,16,0,0,0,0,4,1,0,0,0,0,3,121,100,21,5,6,,BethAn20
4,Telvin Smith,JAX,27,LLB,16,16,2,33,1,33,2,1,0,1,5,0,1,134,100,34,4,3,,SmitTe01
5,Lavonte David,TAM,28,RLB,14,14,0,0,0,0,2,1,0,2,0,0,3.5,120,94,26,13,7,,DaviLa00
6,Luke Kuechly*+,CAR,27,MLB,16,16,1,0,0,0,6,2,0,1,0,0,2,130,93,37,20,5,,KuecLu00
7,Blake Martinez,GNB,24,LILB,16,16,0,0,0,0,3,,,,,0,5,144,91,53,10,6,,MartBl01
8,Cory Littleton*,LAR,25,LILB,16,16,3,48,1,22,13,,,,,0,4,125,90,35,9,4,,LittCo01
9,Roquan Smith,CHI,21,RILB,16,14,1,22,0,22,5,,,,,0,5,121,89,32,8,5,,SmitRo07
10,Tahir Whitehead,OAK,28,RLB,16,16,1,0,0,0,5,1,0,0,0,0,0,126,89,37,9,1,,WhitTa00
11,Jamal Adams*,NYJ,23,SS,16,16,1,38,0,38,12,3,0,1,5,0,3.5,115,86,29,9,8,,AdamJa00
12,Fred Warner,SFO,22,MLB,16,16,0,0,0,0,6,1,0,1,0,0,0,124,85,39,3,2,,WarnFr00
13,Bobby Wagner*+,SEA,28,MLB,15,15,1,98,1,98,11,2,0,1,11,0,1,138,84,54,6,8,,WagnBo00
14,John Johnson,LAR,23,SS,16,16,4,46,0,35,11,1,0,0,0,0,0,119,82,37,3,2,,JohnJo10
15,Jaylon Smith,DAL,23,MLB,16,16,0,0,0,0,4,2,0,2,69,1,4,121,82,39,6,6,,SmitJa05
16,Mason Foster,WAS,29,RILB,16,16,2,4,0,4,4,0,0,1,0,0,1,131,81,50,4,1,,FostMa00
17,Anthony Hitchens,KAN,26,LILB,15,15,,,0,,,1,,,,,0,135,81,54,7,2,,HitcAn00
18,Shawn Williams,CIN,27,SS,16,16,5,131,1,58,9,1,0,0,0,0,1,110,81,29,2,2,,WillSh02
19,Ha Ha Clinton-Dix,2TM,26,SS,16,16,3,25,0,24,6,2,0,2,0,0,1,93,80,13,1,2,,ClinHa00
20,Todd Davis,DEN,26,LILB,16,16,1,20,1,20,7,,,,,0,0.5,114,80,34,6,5,,DaviTo01
21,Tremaine Edmunds,BUF,20,MLB,15,15,2,19,0,17,12,2,0,0,0,0,2,121,80,41,5,7,,EdmuTr01
22,Avery Williamson,NYJ,26,RILB,16,16,1,36,0,36,6,2,0,1,0,0,3,120,80,40,6,4,,WillAv00
23,Kiko Alonso,MIA,28,LLB,15,15,3,30,0,15,6,3,0,1,0,0,0,125,79,46,3,3,,AlonKi00
24,Malcolm Jenkins*,PHI,31,FS,16,16,1,25,0,25,8,3,0,1,11,0,1,97,79,18,6,1,,JenkMa99
25,Budda Baker,ARI,22,SS,14,13,0,0,0,0,1,1,0,2,34,1,2,102,78,24,8,3,,BakeBu00
26,Danny Trevathan,CHI,28,LILB,16,16,2,12,0,12,6,1,0,1,0,0,2,102,76,26,8,4,,TrevDa00
27,Myles Jack,JAX,23,MLB,16,16,1,32,1,32,1,1,0,1,0,0,2.5,107,75,32,1,4,,JackMy00
28,Derwin James*+,LAC,22,FS,16,16,3,30,0,23,13,,,,,0,3.5,105,75,30,4,6,,JameDe00
29,Demario Davis,NOR,29,LLB,16,16,0,0,0,0,4,2,0,1,0,0,5,110,74,36,11,11,,DaviDe00
30,Jessie Bates III,CIN,21,FS,16,16,3,42,1,21,7,,,,,0,0,111,73,38,0,0,,BateJe00
31,Jamie Collins,CLE,29,RLB,16,16,1,0,0,0,4,1,0,1,0,0,4,104,73,31,13,7,,CollJa00
32,Zach Cunningham,HOU,24,RILB,14,14,1,38,1,38,5,2,0,1,0,0,0,107,73,34,3,2,,CunnZa00
33,Jarrad Davis,DET,24,MLB,16,16,0,0,0,0,5,1,0,1,20,0,6,100,73,27,10,10,,DaviJa01
34,Jordan Poyer,BUF,27,FS,16,16,4,11,0,11,6,1,0,1,0,0,2,100,73,27,9,3,,PoyeJo00
35,Damarious Randall,CLE,26,SS,15,15,4,59,0,50,9,0,0,1,0,0,0,85,72,13,2,0,,RandDa00
36,Justin Simmons,DEN,25,FS,16,16,3,8,0,8,4,,,,,0,0,97,71,26,0,0,,SimmJu00
37,Kareem Jackson,HOU,30,RCB,16,16,2,24,0,13,17,2,0,1,0,0,1,87,70,17,5,1,,JackKa99
38,Tyrann Mathieu,HOU,26,SS,16,16,2,6,0,6,8,0,0,1,10,0,3,89,70,19,5,4,,MathTy00
39,C.J. Mosley*,BAL,26,LILB,15,15,1,0,0,0,5,,,,,0,0.5,105,70,35,6,2,,MoslC.00
40,Justin Reid,HOU,21,FS,16,12,3,128,1,101,10,1,0,2,0,0,0,88,70,18,2,1,,ReidJu00
41,Zach Brown,WAS,29,LILB,16,12,0,0,0,0,1,2,0,0,0,0,1,96,69,27,10,2,,BrowZa00
42,Raekwon McMillan,MIA,23,MLB,16,16,0,0,0,0,1,2,0,1,0,0,0,105,69,36,5,0,,McMiRa02
43,Anthony Walker,IND,23,MLB,15,14,1,11,0,11,4,0,0,1,0,0,1,105,69,36,10,2,,WalkAn01
44,Wesley Woodyard,TEN,32,LILB,14,14,0,0,0,0,2,0,0,1,0,0,4.5,113,69,44,5,7,,WoodWe20
45,Nigel Bradham,PHI,29,RLB,15,15,0,0,0,0,4,0,0,1,0,0,2,97,67,30,4,4,,BradNi00
46,Landon Collins*,NYG,24,SS,12,12,0,0,0,0,4,1,,,,,0,96,67,29,5,2,,CollLa00
47,Adoree' Jackson,TEN,23,RCB,16,13,2,7,0,7,10,0,3,2,0,0,0,73,67,6,2,0,,JackAd00
48,Harrison Smith*,MIN,29,FS,16,16,3,66,0,52,6,1,0,2,0,0,3,84,67,17,9,5,,SmitHa00
49,Tre Boston,ARI,26,DB,14,13,3,9,0,9,9,1,0,1,0,0,0,79,66,13,1,3,,BostTr00
50,Bradley McDougald,SEA,28,SS,16,16,3,39,0,39,9,3,0,1,0,0,0,78,66,12,4,0,,McDoBr01
51,Adrian Phillips*+,LAC,26,DB,16,7,1,0,0,0,9,1,0,0,0,0,0,94,65,29,4,1,,PhilAd00
52,Jayon Brown,TEN,23,RILB,16,9,1,22,1,22,6,2,0,1,7,0,6,97,64,33,8,10,,BrowJa06
53,Quandre Diggs,DET,25,SS,16,16,3,41,1,37,8,,,,,0,0,78,64,14,3,1,,DiggQu00
54,Kendall Fuller,KAN,23,LCB,15,15,2,0,0,0,12,1,0,0,0,0,0,82,64,18,1,0,,FullKe00
55,Ron Parker,KAN,31,FS,15,14,2,33,1,33,5,,,,,0,1,77,64,13,1,1,,ParkRo01
56,Vonn Bell,NOR,24,SS,16,8,0,0,0,0,3,1,0,1,0,0,1,89,63,26,4,3,,BellVo00
57,De'Vondre Campbell,ATL,25,MLB,16,13,,,0,,,,,,,0,1.5,94,63,31,4,3,,CampDe00
58,Jeff Heath,DAL,27,SS,16,16,1,49,0,49,5,1,0,0,0,0,0,85,63,22,6,0,,HeatJe00
59,Donte Jackson,CAR,23,RCB,16,16,4,0,0,0,9,1,0,0,0,0,1,74,63,11,4,1,,JackDo02
60,Eric Kendricks,MIN,26,MLB,14,14,2,3,0,3,7,1,0,1,0,0,1,108,63,45,3,1,,KendEr00
61,T.J. McDonald,MIA,27,FS,14,14,3,41,0,31,5,0,0,1,0,0,0,86,63,23,1,0,,McDoTJ00
62,Benardrick McKinney*,HOU,26,LILB,16,16,1,0,0,0,7,1,0,0,0,0,1.5,105,63,42,5,5,,McKiBe00
63,Kenny Moore,IND,23,LCB,15,15,3,52,0,32,11,1,0,0,0,0,1.5,77,63,14,4,2,,MoorKe03
64,Curtis Riley,NYG,26,FS,16,16,4,67,1,46,5,,,,,0,0,75,63,12,0,1,,RileCu00
65,Eli Apple,2TM,23,LCB,15,15,2,29,0,29,14,1,0,2,2,0,0,75,62,13,0,0,,ApplEl00
66,Kevin Byard,TEN,25,FS,16,16,4,1,0,1,8,,,,,0,2,90,62,28,3,5,,ByarKe01
67,Jalen Ramsey*,JAX,24,LCB,16,16,3,0,0,0,13,,,,,0,0,65,62,3,2,0,,RamsJa00
68,Nick Vigil,CIN,25,LLB,11,10,0,0,0,0,3,0,0,1,0,0,0,84,62,22,5,1,,VigiNi00
69,Jaire Alexander,GNB,21,LCB,13,11,1,27,0,27,11,0,2,2,0,0,0.5,66,61,5,3,1,,AlexJa00
70,Jatavis Brown,LAC,24,LLB,15,10,0,0,0,0,5,1,0,0,0,0,1,97,61,36,4,1,,BrowJa05
71,Clayton Geathers,IND,26,SS,12,12,0,0,0,0,3,1,,,,,0,89,61,28,1,2,,GeatCl00
72,Jordan Hicks,PHI,26,MLB,12,12,0,0,0,0,5,0,0,1,13,0,3,91,61,30,5,6,,HickJo00
