Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
37,Jeremy Chinn,CAR,22,RLB,15,15,1,64,47,73.40%,422,9,6.6,6,115.5,6.9,212,210,65,2,4,1,7,117,15,11.40%,ChinJe00
38,Kenny Moore,IND,25,LCB,16,14,4,101,73,72.30%,846,11.6,8.4,5,97.2,8,471,375,31,3,1,2,6,80,8,9.10%,MoorKe03
39,Kenneth Murray,LAC,22,RLB,16,16,0,53,44,83.00%,428,9.7,8.1,2,112.9,5.6,238,190,32,0,0,1,1,107,8,7.00%,MurrKe00
40,Logan Ryan,NYG,29,FS,16,15,1,53,33,62.30%,336,10.2,6.3,2,85.1,7.5,201,135,23,3,3,1,7,94,11,10.50%,RyanLo00
41,Daniel Sorensen,KAN,30,SS/FS,15,11,3,60,46,76.70%,560,12.2,9.3,3,100.7,6.9,252,308,64,1,4,0,5,91,14,13.30%,SoreDa01
42,Vonn Bell,CIN,26,SS,16,16,0,59,38,64.40%,519,13.7,8.8,5,120.7,9.3,295,224,36,1,4,0,5,114,5,4.20%,BellVo00
43,Kareem Jackson,DEN,32,SS,16,16,1,48,31,64.60%,278,9,5.8,2,85.2,7.4,122,156,3,0,0,0,0,89,11,11.00%,JackKa99
44,Josey Jewell,DEN,26,RILB,16,16,0,66,48,72.70%,407,8.5,6.2,1,93.4,4.3,164,243,58,2,3,2,7,113,4,3.40%,JeweJo00
45,Danny Trevathan,CHI,30,RILB,16,16,0,59,46,78.00%,573,12.5,9.7,2,118.4,6.6,276,297,26,1,1,1,3,113,6,5.00%,TrevDa00
46,Patrick Queen,BAL,21,LILB,16,16,1,54,41,75.90%,366,8.9,6.8,3,104.4,4.1,134,232,86,3,7,3,13,106,21,16.50%,QueePa00
47,Eric Rowe,MIA,28,FS,16,14,2,85,53,62.40%,641,12.1,7.5,1,79.6,8.1,368,273,27,0,2,0,2,91,9,9.00%,RoweEr00
48,Adrian Amos,GNB,27,SS,16,16,2,52,35,67.30%,384,11,7.4,2,85.7,9.9,230,154,9,0,1,2,3,83,10,10.80%,AmosAd00
49,Anthony Walker,IND,25,MLB,16,16,1,50,38,76.00%,287,7.6,5.7,3,101,3.6,129,158,22,2,1,0,3,92,6,6.10%,WalkAn01
50,Khari Willis,IND,24,SS,14,14,2,39,23,59.00%,191,8.3,4.9,1,58.8,7.5,140,51,26,4,2,2,8,85,4,4.50%,WillKh00
51,Tre Herndon,JAX,24,LCB,16,12,0,77,53,68.80%,653,12.3,8.5,4,112.1,10.1,409,244,24,0,1,1,2,76,12,13.60%,HernTr00
52,Shaq Thompson,CAR,26,LLB,16,15,0,76,56,73.70%,417,7.4,5.5,1,90.7,3.8,177,240,55,2,2,0,4,114,8,6.60%,ThomSh01
53,Tracy Walker,DET,25,SS,15,7,0,51,34,66.70%,397,11.7,7.8,5,122.8,9.3,223,174,22,1,1,1,3,87,12,12.10%,WalkTr01
54,Antoine Winfield Jr.,TAM,22,SS,16,16,1,39,30,76.90%,526,17.5,13.5,6,147.2,13.1,379,147,45,1,1,3,6,94,7,6.90%,WinfAn00
55,Kamren Curl,WAS,21,SS,16,11,3,53,39,73.60%,380,9.7,7.2,2,82.3,5.4,183,197,40,1,3,2,6,88,16,15.40%,CurlKa00
56,Jeff Gladney,MIN,24,RCB,16,15,0,88,62,70.50%,730,11.8,8.3,6,118.1,8.9,469,261,12,2,1,0,3,81,20,19.80%,GladJe00
57,Eddie Jackson,CHI,27,FS,16,16,0,46,31,67.40%,413,13.3,9,2,110.1,12.6,280,133,14,0,0,0,0,82,13,13.70%,JackEd01
58,Nicholas Morrow,LVR,25,LLB,14,11,1,65,44,67.70%,290,6.6,4.5,3,86.1,2.4,21,269,24,1,3,3,8,78,7,8.20%,MorrNi00
59,Justin Reid,HOU,23,SS,13,13,0,39,27,69.20%,312,11.6,8,2,110.2,5.9,129,183,36,2,2,2,6,83,14,14.40%,ReidJu00
60,Kenny Vaccaro,TEN,29,SS,13,13,0,41,30,73.20%,358,11.9,8.7,2,115.7,7.6,188,170,46,3,0,1,4,83,8,8.80%,VaccKe00
61,Eric Wilson,MIN,26,RLB,16,15,3,65,45,69.20%,366,8.1,5.6,2,74.3,4.4,135,231,75,1,5,3,10,122,17,12.20%,WilsEr00
62,Jonathan Bostic,WAS,29,MLB,16,15,1,61,44,72.10%,410,9.3,6.7,2,94.3,4.8,169,241,61,1,4,3,8,118,10,7.80%,BostJo00
63,Tre Boston,CAR,28,FS,16,16,1,55,37,67.30%,347,9.4,6.3,3,95,7.6,191,156,22,0,1,1,2,95,15,13.60%,BostTr00
64,Dre Greenlaw,SFO,23,RLB/LLB,13,11,0,50,39,78.00%,306,7.8,6.1,0,92.2,1.9,82,224,50,0,1,1,2,86,4,4.40%,GreeDr00
65,Vernon Hargreaves III,HOU,25,RCB,16,16,1,107,73,68.20%,907,12.4,8.5,6,109.1,9.9,567,340,1,1,0,0,1,72,11,13.30%,HargVe00
66,AJ Terrell,ATL,22,LCB,14,14,1,106,71,67.00%,936,13.2,8.8,6,109.6,12.2,623,313,3,0,1,0,1,74,13,14.90%,TerrAJ00
67,Johnathan Abram,LVR,24,SS,13,13,2,33,27,81.80%,394,14.6,11.9,2,111.4,13.8,328,66,47,5,4,0,9,86,13,13.10%,AbraJo01
68,Minkah Fitzpatrick*+,PIT,24,FS,16,16,4,26,13,50.00%,224,17.2,8.6,2,65.7,11.2,134,90,3,0,0,0,0,79,11,12.20%,FitzMi00
69,Jonathan Jones,NWE,27,DB,16,7,2,81,53,65.40%,530,10,6.5,4,90,8.8,261,269,11,1,1,0,2,74,6,7.50%,JoneJo03
70,K.J. Wright,SEA,31,ROLB,16,16,1,66,51,77.30%,416,8.2,6.3,4,106.6,3.5,149,267,72,3,1,2,6,86,10,10.40%,WrigK.00
71,Jamal Adams*,SEA,25,SS,12,12,0,45,35,77.80%,411,11.7,9.1,0,104.7,6.8,224,187,98,10,6,9.5,26,83,9,9.80%,AdamJa00
