Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
1,Budda Baker*,ARI,23,FS,16,16,0,55,40,72.70%,506,12.7,9.2,4,125.3,8.1,298,208,44,3,1,0.5,5,147,11,7.00%,BakeBu00
2,Zach Cunningham,HOU,25,RILB,16,16,0,49,38,77.60%,319,8.4,6.5,2,107.4,3,26,293,52,2,0,2,5,142,11,7.20%,CunnZa00
3,Blake Martinez,GNB,25,LILB,16,16,1,74,62,83.80%,570,9.2,7.7,2,102.1,4.1,231,339,24,2,0,3,5,155,18,10.40%,MartBl01
4,Eric Reid,CAR,28,SS,16,16,0,70,54,77.10%,750,13.9,10.7,8,149.1,8.9,423,327,43,3,1,4,8,130,9,6.50%,ReidEr00
5,Jordan Hicks,ARI,27,RILB,16,16,3,69,54,78.30%,612,11.3,8.9,3,100,5.6,297,315,86,1,4,1.5,7,150,18,10.70%,HickJo00
6,Joe Schobert,CLE,26,MLB,16,16,4,55,38,69.10%,357,9.4,6.5,3,74.6,7.1,208,149,74,1,2,2,5,133,16,10.70%,SchoJo00
7,Fred Warner,SFO,23,MLB,16,16,1,74,49,66.20%,454,9.3,6.1,2,86.2,3.7,158,296,35,3,1,3,7,118,17,12.60%,WarnFr00
8,Demario Davis+,NOR,30,LLB,16,16,1,72,49,68.10%,313,6.4,4.3,1,75.8,3.8,125,188,104,6,4,4,15,111,5,4.30%,DaviDe00
9,Bobby Wagner*+,SEA,29,MLB,16,16,1,72,58,80.60%,657,11.3,9.1,2,108.2,3.9,229,428,71,1,2,3,6,159,10,5.90%,WagnBo00
10,Anthony Walker,IND,24,MLB,16,16,1,61,49,80.30%,369,7.5,6,3,101.4,3.6,130,239,31,0,1,2.5,4,124,11,8.10%,WalkAn01
11,Jaylon Smith*,DAL,24,MLB,16,16,1,70,54,77.10%,460,8.5,6.6,3,102.1,4.7,214,246,46,1,0,2.5,4,142,12,7.80%,SmitJa05
