Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
53,Quandre Diggs,DET,25,SS,16,16,3,63,40,63.50%,537,13.4,8.5,3,86.5,9.7,348,189,8,0,1,0,1,78,13,14.30%,DiggQu00
54,Kendall Fuller,KAN,23,LCB,15,15,2,113,76,67.30%,802,10.6,7.1,2,86.2,8.8,457,345,16,1,0,0,1,82,10,10.90%,FullKe00
55,Ron Parker,KAN,31,FS,15,14,2,48,34,70.80%,520,15.3,10.8,3,109.7,14.2,370,150,7,3,0,1,4,77,7,8.30%,ParkRo01
56,Vonn Bell,NOR,24,SS,16,8,0,64,44,68.80%,582,13.2,9.1,4,118.1,7.7,354,228,27,2,2,1,5,89,7,7.30%,BellVo00
57,De'Vondre Campbell,ATL,25,MLB,16,13,0,63,44,69.80%,437,9.9,6.9,3,105.1,4.5,163,274,57,2,0,1.5,4,94,4,4.10%,CampDe00
58,Jeff Heath,DAL,27,SS,16,16,1,60,37,61.70%,464,12.5,7.7,1,84.3,9.9,227,237,3,2,0,0,2,85,14,14.10%,HeatJe00
59,Donte Jackson,CAR,23,RCB,16,16,4,78,46,59.00%,789,17.2,10.1,6,97.6,12.7,540,249,3,0,0,1,1,74,15,16.90%,JackDo02
60,Eric Kendricks,MIN,26,MLB,14,14,2,66,46,69.70%,524,11.4,7.9,2,90.7,4.5,170,354,39,6,0,1,7,108,8,6.90%,KendEr00
61,T.J. McDonald,MIA,27,FS,14,14,3,46,29,63.00%,400,13.8,8.7,4,92.7,11.1,237,163,11,2,0,0,2,86,12,12.20%,McDoTJ00
62,Benardrick McKinney*,HOU,26,LILB,16,16,1,43,28,65.10%,248,8.9,5.8,2,86.2,4,66,182,55,1,3,1.5,6,105,13,11.00%,McKiBe00
63,Kenny Moore,IND,23,LCB,15,15,3,87,62,71.30%,527,8.5,6.1,2,80,6.4,246,281,40,2,0,1.5,4,77,11,12.50%,MoorKe03
64,Curtis Riley,NYG,26,FS,16,16,4,44,26,59.10%,465,17.9,10.6,3,80.2,16.6,297,168,14,1,1,0,2,75,18,19.40%,RileCu00
65,Eli Apple,2TM,23,LCB,15,15,2,118,57,48.30%,869,15.2,7.4,3,74.4,12.7,619,250,0,0,0,0,0,75,15,16.70%,ApplEl00
66,Kevin Byard,TEN,25,FS,16,16,4,40,20,50.00%,214,10.7,5.4,1,34.8,10.2,151,63,21,2,1,2,5,90,7,7.20%,ByarKe01
67,Jalen Ramsey*,JAX,24,LCB,16,16,3,113,61,54.00%,856,14,7.6,3,76.4,13,586,270,0,0,0,0,0,65,5,7.10%,RamsJa00
68,Nick Vigil,CIN,25,LLB,11,10,0,53,40,75.50%,393,9.8,7.4,1,102.2,3.8,95,298,38,3,1,0,4,84,10,10.60%,VigiNi00
69,Jaire Alexander,GNB,21,LCB,13,11,1,91,59,64.80%,818,13.9,9,3,100,11,577,241,11,1,0,0.5,2,66,8,10.80%,AlexJa00
70,Jatavis Brown,LAC,24,LLB,15,10,0,69,54,78.30%,471,8.7,6.8,1,99.9,4.1,217,254,18,2,0,1,3,97,16,14.20%,BrowJa05
71,Clayton Geathers,IND,26,SS,12,12,0,43,29,67.40%,283,9.8,6.6,1,93.5,5.6,130,153,10,2,2,0,4,89,10,10.10%,GeatCl00
72,Jordan Hicks,PHI,26,MLB,12,12,0,45,32,71.10%,370,11.6,8.2,2,110.4,4.5,135,235,47,1,0,3,5,91,5,5.20%,HickJo00
73,Jordan Whitehead,TAM,21,SS,15,11,0,42,29,69.00%,334,11.5,8,1,100.7,12,272,62,5,0,0,0,0,76,13,14.60%,WhitJo03
74,Malcolm Butler,TEN,28,DB,16,11,3,99,63,63.60%,840,13.3,8.5,7,101.4,12.1,622,218,4,1,0,1,2,69,7,9.20%,ButlMa01
75,Pierre Desir,IND,28,RCB,16,12,1,83,45,54.20%,624,13.9,7.5,3,85.6,9.9,367,257,2,0,0,0,0,79,3,3.70%,DesiPi00
76,Damontae Kazee,ATL,25,SS,16,15,7,30,16,53.30%,256,16,8.5,4,82.1,11.8,189,67,1,0,0,0,0,82,13,13.70%,KazeDa00
77,Adrian Amos,CHI,25,FS,16,16,2,54,33,61.10%,299,9.1,5.5,2,73,9.1,219,80,4,2,0,1,3,73,8,9.90%,AmosAd00
78,Sean Davis,PIT,25,FS,15,15,1,49,27,55.10%,457,16.9,9.3,5,112.4,12.6,272,185,4,0,1,0,1,80,15,15.80%,DaviSe00
79,Jackrabbit Jenkins,NYG,30,RCB,16,16,2,101,63,62.40%,786,12.5,7.8,6,98,11.1,587,199,2,0,0,0,0,70,15,17.60%,JenkJa03
80,Devin McCourty,NWE,31,FS,16,16,1,52,32,61.50%,375,11.7,7.2,6,113.9,8.8,258,117,9,2,0,0,2,82,5,5.70%,McCoDe99
81,James Bradberry,CAR,25,LCB,16,16,1,113,50,44.20%,802,16,7.1,6,82.5,13.6,605,197,3,0,0,1,1,70,4,5.40%,BradJa00
82,T.J. Carrie,CLE,28,RCB,16,8,1,93,52,55.90%,637,12.3,6.8,1,76.3,10.4,355,282,9,2,0,1,3,74,9,10.80%,CarrTr00
83,Lamarcus Joyner,LAR,28,FS,15,15,1,35,19,54.30%,279,14.7,8,2,87.7,12.5,211,68,7,1,0,1,2,78,6,7.10%,JoynLa00
84,Steven Nelson,KAN,25,RCB,16,16,4,115,59,51.30%,766,13,6.7,5,72.6,13.2,574,192,1,0,0,0,0,68,13,16.00%,NelsSt01
85,Alec Ogletree,NYG,27,RILB,13,13,5,63,48,76.20%,395,8.2,6.3,3,74.5,4.4,183,212,73,4,3,1,8,93,16,14.70%,OgleAl00
86,Glover Quin,DET,32,FS,16,16,0,42,28,66.70%,400,14.3,9.5,3,121.1,10.5,254,146,8,0,1,1,2,74,7,8.60%,QuinGl99
87,Prince Amukamara,CHI,29,RCB,15,15,3,89,51,57.30%,603,11.8,6.8,3,75.3,11.9,429,174,0,0,0,0,0,66,3,4.30%,AmukPr00
88,Chidobe Awuzie,DAL,23,LCB/RCB,15,14,1,95,54,56.80%,770,14.3,8.1,5,96.4,12,611,159,1,1,0,0,1,71,9,11.30%,AwuzCh00
89,Jerome Baker,MIA,22,RLB,16,11,1,54,40,74.10%,494,12.4,9.1,1,100.4,5.1,137,357,34,0,1,3,4,79,11,12.20%,BakeJe00
90,Reshad Jones,MIA,30,SS,14,13,3,41,23,56.10%,316,13.7,7.7,2,66.7,11.8,224,92,11,1,1,0,2,72,6,7.70%,JoneRe99
91,Joe Schobert,CLE,25,MLB,13,13,1,47,28,59.60%,344,12.3,7.3,2,87.5,8.5,220,124,88,10,1,3,17,103,24,18.90%,SchoJo00
92,Byron Jones*,DAL,26,RCB/LCB,16,16,0,80,42,52.50%,586,14,7.3,2,84.7,13.6,452,134,3,0,0,0,0,67,4,5.60%,JoneBy00
93,Foyesade Oluokun,ATL,23,MLB,16,7,0,43,37,86.00%,343,9.3,8,2,115.4,6.6,155,188,13,2,2,0,4,91,12,11.70%,OluoFo00
94,Lorenzo Alexander,BUF,35,LLB,16,8,2,28,19,67.90%,129,6.8,4.6,0,48.1,2.1,14,115,39,10,4,6.5,21,74,8,9.80%,AlexLo99
95,Terrell Edmunds,PIT,21,SS,16,15,1,42,25,59.50%,336,13.4,8,1,83,8.9,222,114,25,2,2,1,5,78,5,6.00%,EdmuTe00
96,Tre Flowers,SEA,23,RCB,15,15,0,90,57,63.30%,805,14.1,8.9,4,106.9,11.9,517,288,1,0,0,0,0,67,10,13.00%,FlowTr01
97,Shaquill Griffin,SEA,23,LCB,16,16,2,86,57,66.30%,781,13.7,9.1,5,104.8,12,539,242,2,0,0,0,0,62,10,13.90%,GrifSh00
98,Desmond Trufant,ATL,28,RCB,16,16,0,98,58,59.20%,612,10.6,6.2,3,87.6,11.1,429,183,4,3,0,1,4,66,4,5.70%,TrufDe00
99,Kyle Van Noy,NWE,27,MLB,16,16,1,41,32,78.00%,267,8.3,6.5,0,83.6,3.7,90,177,109,9,5,3.5,18,92,16,14.80%,VanNKy00
100,Darqueze Dennard,CIN,27,DB,13,9,0,69,49,71.00%,538,11,7.8,1,98.6,7.4,319,219,8,1,0,0,1,68,6,8.10%,DennDa00
101,Elijah Lee,SFO,22,RLB,16,5,0,38,33,86.80%,301,9.1,7.9,0,99.7,5.3,147,154,17,0,1,1,2,65,4,5.80%,LeexEl00
102,Jason McCourty,NWE,31,LCB,16,12,1,99,52,52.50%,790,15.2,8,5,91.7,11.8,516,274,5,0,0,0,0,70,4,5.40%,McCoJa99
103,Logan Ryan,TEN,27,LCB,14,14,0,64,43,67.20%,515,12,8,2,102,9.2,283,232,36,5,1,4,10,76,3,3.80%,RyanLo00
104,Eric Weddle*,BAL,33,FS,16,16,0,39,25,64.10%,265,10.6,6.8,1,92.4,10.3,172,93,28,1,2,1,4,68,7,9.30%,WeddEr99
105,Calais Campbell*,JAX,32,RDE,16,16,0,0,0,,0,,,0,,,0,0,0,9,8,10.5,28,72,7,8.90%,CampCa99
106,Tony Jefferson,BAL,26,SS,14,14,1,51,31,60.80%,416,13.4,8.2,2,91.6,9.7,325,91,18,0,1,1,2,74,9,10.80%,JeffTo00
107,Brian Poole,ATL,26,RLB,16,9,3,77,44,57.10%,564,12.8,7.3,5,85.6,7.4,294,270,29,0,2,3,5,74,15,16.90%,PoolBr01
108,Haason Reddick,ARI,24,LLB,16,12,0,48,35,72.90%,281,8,5.9,0,87.2,2,71,210,85,2,3,4,9,80,11,12.10%,ReddHa00
109,Jahleel Addae,LAC,28,SS,16,16,1,40,26,65.00%,578,22.2,14.5,0,97.9,18.3,456,122,6,2,0,1,3,75,13,14.80%,AddaJa00
110,Josh Bynes,ARI,29,MLB,11,11,0,46,36,78.30%,378,10.5,8.2,3,122.6,5.3,123,255,32,1,1,2,4,75,8,9.60%,ByneJo00
111,Patrick Chung,NWE,31,SS,15,14,1,80,51,63.80%,515,10.1,6.4,4,93.5,7.8,276,239,42,3,1,0.5,5,84,6,6.70%,ChunPa99
112,Damon Harrison,2TM,30,NT/RDT,17,16,0,0,0,,0,,,0,,,0,0,0,2,3,3.5,9,81,2,2.40%,HarrDa03
113,Rashaan Melvin,OAK,29,LCB,14,7,1,73,40,54.80%,629,15.7,8.6,4,96.2,12,436,193,3,1,0,0,1,56,5,8.20%,MelvRa00
114,Matt Milano,BUF,24,RLB,13,13,3,46,26,56.50%,284,10.9,6.2,3,69.5,5.1,82,202,39,3,2,1,6,78,20,20.40%,MilaMa00
115,Jabrill Peppers,CLE,23,FS,16,16,1,48,29,60.40%,368,12.7,7.7,5,110.4,9.4,206,162,51,1,3,1,5,79,11,12.20%,PeppJa00
116,Buster Skrine,NYJ,29,DB,14,11,0,75,49,65.30%,566,11.6,7.5,4,105.7,7.5,296,270,19,0,0,0.5,1,58,10,14.70%,SkriBu00
117,B.W. Webb,NYG,28,LCB,16,13,1,73,41,56.20%,553,13.5,7.6,2,83.9,13.4,400,153,13,2,0,1,3,59,3,4.80%,WebbBW00
118,Minkah Fitzpatrick,MIA,22,SS,16,11,2,69,39,56.50%,456,11.7,6.6,0,64.6,10.3,238,218,18,1,0,0,1,80,11,12.10%,FitzMi00
119,Joe Haden,PIT,29,LCB,15,15,2,105,53,50.50%,581,11,5.5,4,72,12,407,174,1,0,0,0,0,63,8,11.30%,HadeJo99
120,Danielle Hunter*,MIN,24,LDE,16,16,0,2,2,100.00%,26,13,13,0,118.7,2.5,5,21,0,20,2,14.5,38,72,8,10.00%,HuntDa01
121,Shaq Thompson,CAR,24,LLB,14,11,0,48,35,72.90%,255,7.3,5.3,1,91.9,3.1,115,140,47,7,2,3.5,13,80,10,11.10%,ThomSh01
122,Bobby McCain,MIA,25,RCB,14,13,1,72,50,69.40%,668,13.4,9.3,7,125.2,8.7,398,270,6,0,0,2,2,61,11,15.30%,McCaBo01
123,Eric Reid,CAR,27,SS,13,13,1,35,20,57.10%,358,17.9,10.2,2,99.5,12.1,257,101,16,2,0,1,3,71,10,12.30%,ReidEr00
124,T.J. Watt*,PIT,24,LOLB,16,16,0,27,22,81.50%,198,9,7.3,1,109.6,5,70,128,46,18,7,13,38,68,14,17.10%,WattT.00
125,Vince Williams,PIT,29,RILB,14,14,1,39,25,64.10%,234,9.4,6,2,86.9,5.2,85,149,70,3,4,4.5,12,76,11,12.60%,WillVi01
126,Johnathan Joseph,HOU,34,LCB,14,14,2,91,55,60.40%,669,12.2,7.4,4,88.6,10,453,216,1,0,0,0,0,58,16,21.60%,JoseJo20
127,Marshon Lattimore,NOR,22,RCB,16,16,2,90,58,64.40%,880,15.2,9.8,3,98.4,12.9,608,272,4,0,0,0,0,59,6,9.20%,LattMa01
128,Marcus Williams,NOR,22,FS,16,16,2,31,17,54.80%,343,20.2,11.1,4,106.6,16.9,277,66,5,0,0,1,1,59,4,6.30%,WillMa06
129,Rasul Douglas,PHI,24,LCB,16,7,3,76,53,69.70%,678,12.8,8.9,4,98.5,11,439,239,0,0,0,0,0,58,3,4.90%,DougRa00
130,Christian Jones,DET,27,RLB,16,16,0,30,23,76.70%,239,10.4,8,3,132.5,4.1,86,153,30,1,3,1,5,69,4,5.50%,JoneCh05
131,Jason Pierre-Paul,TAM,29,RDE,16,16,0,2,2,100.00%,10,5,5,0,87.5,4,8,2,0,12,5,12.5,30,58,10,14.70%,PierJa99
132,Mike Adams,CAR,37,FS,16,16,3,41,30,73.20%,539,18,13.1,4,117.2,11.6,381,158,19,2,0,0,2,75,7,8.50%,AdamMi21
133,Desmond King+,LAC,24,DB,16,8,3,87,64,73.60%,508,7.9,5.8,2,81,4.5,140,368,14,2,1,0,3,62,10,13.90%,KingDe01
134,J.J. Watt*+,HOU,29,LDE,16,16,0,2,1,50.00%,1,1,0.5,0,56.2,-3.5,-2,3,0,32,11,16,60,61,8,11.60%,WattJ.00
135,Jonathan Bostic,PIT,27,LILB,16,14,0,40,30,75.00%,331,11,8.3,2,115.7,5.8,136,195,54,5,1,2.5,9,73,2,2.70%,BostJo00
136,A.J. Bouye,JAX,27,RCB,13,13,1,66,42,63.60%,420,10,6.4,0,75.3,9.4,282,138,0,0,0,0,0,54,6,10.00%,BouyA.00
137,Thomas Davis,CAR,35,RLB,12,12,0,45,35,77.80%,324,9.3,7.2,2,111.5,4.4,124,200,50,1,2,0,3,79,7,8.10%,DaviTh20
138,Reggie Ragland,KAN,25,RILB,16,15,1,23,17,73.90%,228,13.4,9.9,1,101.4,4.6,70,158,12,2,0,0.5,3,86,14,14.00%,RaglRe00
139,Darian Stewart,DEN,30,SS,14,14,2,35,25,71.40%,430,17.2,12.3,2,108,8.4,159,271,14,2,0,1,4,60,9,13.00%,StewDa00
140,Alex Anzalone,NOR,24,MLB,16,7,1,32,25,78.10%,238,9.5,7.4,0,84.6,5,112,126,47,4,3,2,9,59,5,7.80%,AnzaAl00
141,Kyle Fuller*+,CHI,26,LCB,16,16,7,121,68,56.20%,808,11.9,6.7,4,63.7,10.8,571,237,0,0,0,0,0,55,5,8.30%,FullKy00
142,Patrick Peterson*,ARI,28,LCB,16,16,2,60,35,58.30%,417,11.9,7,4,88,10.3,261,156,3,1,0,1,2,54,6,10.00%,PetePa00
143,Bradley Roby,DEN,26,LCB,15,15,1,92,58,63.00%,847,14.6,9.2,7,113.8,10.6,481,366,2,0,0,0,0,50,13,20.60%,RobyBr00
144,Briean Boddy-Calhoun,CLE,25,DB,16,8,0,65,45,69.20%,579,12.9,8.9,1,102,6.8,301,278,14,0,3,0,3,56,9,13.80%,BoddBr01
145,DeForest Buckner*,SFO,24,RDT,16,16,0,1,1,100.00%,6,6,6,0,91.7,1,1,5,0,15,6,12,34,67,6,8.20%,BuckDe00
146,Morris Claiborne,NYJ,28,RCB,15,15,2,94,49,52.10%,704,14.4,7.5,4,82,12.8,489,215,0,0,0,0,0,57,9,13.60%,ClaiMo00
147,Tashaun Gipson,JAX,28,FS,16,16,1,46,24,52.20%,341,14.2,7.4,4,96.4,11,195,146,15,2,1,0,3,54,8,12.90%,GipsTa00
148,B.J. Goodson,NYG,25,LILB,15,13,2,30,19,63.30%,170,8.9,5.7,0,50.7,2.8,54,116,19,1,3,0.5,5,61,5,7.60%,GoodB.00
149,Mike Hilton,PIT,24,DB,15,2,1,68,41,60.30%,428,10.4,6.3,2,82.2,7.4,265,163,47,1,3,1,5,57,4,6.60%,HiltMi01
150,Gerald Hodges,ARI,27,TE,16,6,0,22,18,81.80%,160,8.9,7.3,0,97,4.3,59,101,16,1,1,0,2,55,5,8.30%,HodgGe00
151,Jonathan Jones,NWE,25,DB,16,5,3,73,43,58.90%,531,12.3,7.3,4,82.6,8.5,249,282,19,3,1,1.5,6,56,9,13.80%,JoneJo03
152,Tre'Davious White,BUF,23,LCB,16,16,2,73,40,54.80%,461,11.5,6.3,2,71.8,11.6,329,132,1,0,0,0,0,54,7,11.50%,WhitTr01
153,P.J. Williams,NOR,25,MLB,15,7,1,79,50,63.30%,644,12.9,8.2,7,113.1,8.3,356,288,13,0,1,1,2,53,7,11.70%,WillP.00
154,Robert Alford,ATL,30,LCB,15,15,0,79,53,67.10%,902,17,11.4,8,139.3,14,631,271,1,0,0,0,0,50,8,13.80%,AlfoRo00
155,Mark Barron,LAR,29,RILB,12,12,0,37,22,59.50%,214,9.7,5.8,1,84.7,6.2,65,149,8,0,0,1,1,60,7,10.40%,BarrMa00
156,Justin Evans,TAM,23,FS,10,10,1,26,21,80.80%,259,12.3,10,5,131.7,9.6,195,64,2,0,0,0,0,59,5,7.80%,EvanJu00
157,Corey Graham,PHI,33,SS,13,9,1,29,22,75.90%,305,13.9,10.5,3,129.2,13.6,237,68,13,0,0,0,0,56,4,6.70%,GrahCo99
158,Nevin Lawson,DET,27,RCB,15,14,0,73,43,58.90%,520,12.1,7.1,5,103.7,10.3,350,170,6,0,0,1,1,53,3,5.40%,LawsNe00
159,Darron Lee,NYJ,24,LILB,12,12,3,53,36,67.90%,334,9.3,6.3,1,67.6,4,118,216,36,0,1,0,1,74,12,14.00%,LeexDa00
160,Eric Murray,KAN,24,SS,15,9,1,37,21,56.80%,286,13.6,7.7,3,97.4,13.5,208,78,10,1,1,0,2,55,4,6.80%,MurrEr00
161,Dee Ford*,KAN,27,LOLB,16,16,0,7,6,85.70%,81,13.5,11.6,0,114.9,1.7,6,75,50,23,17,13,54,55,2,3.50%,FordDe00
162,Brent Grimes,TAM,35,RCB,13,13,0,57,39,68.40%,541,13.9,9.5,3,116.2,11.7,380,161,0,0,0,0,0,48,4,7.70%,GrimBr20
