Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
1,Shaquille Leonard+,IND,23,LLB,15,15,2,96,76,79.20%,686,9,7.1,2,94.7,3.6,243,443,28,1,1,7,9,163,12,6.90%,LeonDa00
2,Leighton Vander Esch*,DAL,22,RLB,16,11,2,90,72,80.00%,602,8.4,6.7,3,96.4,4,233,369,15,1,1,0,2,140,10,6.70%,VandLe00
3,Antoine Bethea,ARI,34,FS,16,16,0,56,37,66.10%,347,9.4,6.2,2,94.9,8.2,206,141,30,4,3,3,10,121,19,13.60%,BethAn20
4,Telvin Smith,JAX,27,LLB,16,16,2,77,59,76.60%,524,8.9,6.8,4,100.8,5,160,364,33,3,1,1,5,134,23,14.60%,SmitTe01
5,Lavonte David,TAM,28,RLB,14,14,0,77,62,80.50%,569,9.2,7.4,4,114.8,3.9,201,368,54,0,2,3.5,6,120,9,7.00%,DaviLa00
6,Luke Kuechly*+,CAR,27,MLB,16,16,1,54,36,66.70%,239,6.6,4.4,2,80.7,2.4,32,207,55,4,3,2,9,130,10,7.10%,KuecLu00
7,Blake Martinez,GNB,24,LILB,16,16,0,61,45,73.80%,410,9.1,6.7,5,118.9,3.6,138,272,61,5,1,5,11,144,12,7.70%,MartBl01
8,Cory Littleton*,LAR,25,LILB,16,16,3,64,47,73.40%,536,11.4,8.4,3,94.3,7.1,255,281,58,4,0,4,8,125,10,7.40%,LittCo01
9,Roquan Smith,CHI,21,RILB,16,14,1,82,60,73.20%,587,9.8,7.2,2,95.9,4.3,233,354,36,4,0,5,9,121,13,9.70%,SmitRo07
10,Tahir Whitehead,OAK,28,RLB,16,16,1,71,53,74.60%,716,13.5,10.1,4,119.2,6.9,269,447,31,2,1,0,3,126,11,8.00%,WhitTa00
11,Jamal Adams*,NYJ,23,SS,16,16,1,60,33,55.00%,405,12.3,6.8,1,74.7,9.8,235,170,69,2,4,3.5,10,115,12,9.40%,AdamJa00
12,Fred Warner,SFO,22,MLB,16,16,0,75,45,60.00%,475,10.6,6.3,3,91.8,5.1,171,304,51,2,2,0,4,124,13,9.50%,WarnFr00
13,Bobby Wagner*+,SEA,28,MLB,15,15,1,69,46,66.70%,475,10.3,6.9,0,80.3,6.1,182,293,41,1,4,1,6,138,1,0.70%,WagnBo00
14,John Johnson,LAR,23,SS,16,16,4,56,38,67.90%,391,10.3,7,4,81.8,8.6,243,148,15,0,2,0,2,119,8,6.30%,JohnJo10
15,Jaylon Smith,DAL,23,MLB,16,16,0,58,46,79.30%,413,9,7.1,2,107.8,5.3,196,217,68,7,2,4,13,121,12,9.00%,SmitJa05
16,Mason Foster,WAS,29,RILB,16,16,2,77,59,76.60%,502,8.5,6.5,1,86.6,3.6,96,406,77,5,0,1,5,131,12,8.40%,FostMa00
17,Anthony Hitchens,KAN,26,LILB,15,15,0,69,59,85.50%,573,9.7,8.3,4,120.6,3.3,194,379,36,4,1,0,5,135,8,5.60%,HitcAn00
18,Shawn Williams,CIN,27,SS,16,16,5,60,41,68.30%,556,13.6,9.3,7,101.8,10.4,391,165,19,2,1,1,4,110,10,8.30%,WillSh02
19,Ha Ha Clinton-Dix,2TM,26,SS,16,16,3,39,26,66.70%,333,12.8,8.5,1,69.7,10.3,209,124,16,0,1,1,2,93,9,8.80%,ClinHa00
20,Todd Davis,DEN,26,LILB,16,16,1,57,46,80.70%,436,9.5,7.6,2,102.9,3.3,118,318,42,2,4,0.5,7,114,15,11.60%,DaviTo01
21,Tremaine Edmunds,BUF,20,MLB,15,15,2,93,73,78.50%,634,8.7,6.8,2,93.3,3.9,222,412,37,4,5,2,11,121,24,16.60%,EdmuTr01
22,Avery Williamson,NYJ,26,RILB,16,16,1,67,48,71.60%,513,10.7,7.7,3,102.4,5.3,242,271,71,5,0,3,8,120,5,4.00%,WillAv00
23,Kiko Alonso,MIA,28,LLB,15,15,3,69,45,65.20%,518,11.5,7.5,5,93.7,6,241,277,50,1,3,0,4,125,12,8.80%,AlonKi00
24,Malcolm Jenkins*,PHI,31,FS,16,16,1,69,48,69.60%,431,9,6.2,2,89.7,8.3,202,229,40,2,0,1,3,97,12,11.00%,JenkMa99
25,Budda Baker,ARI,22,SS,14,13,0,71,55,77.50%,514,9.3,7.2,2,106.2,3.5,134,380,58,8,1,2,12,102,10,8.90%,BakeBu00
26,Danny Trevathan,CHI,28,LILB,16,16,2,64,42,65.60%,389,9.3,6.1,5,95.1,5.3,128,261,54,4,3,2,9,102,10,8.90%,TrevDa00
27,Myles Jack,JAX,23,MLB,16,16,1,49,37,75.50%,380,10.3,7.8,1,95.6,4.4,157,223,47,2,1,2.5,6,107,12,10.10%,JackMy00
28,Derwin James*+,LAC,22,FS,16,16,3,73,49,67.10%,480,9.8,6.6,3,82,6.7,151,329,52,5,2,3.5,11,105,17,13.90%,JameDe00
29,Demario Davis,NOR,29,LLB,16,16,0,67,53,79.10%,482,9.1,7.2,3,111.6,2.7,134,348,84,4,6,5,15,110,14,11.30%,DaviDe00
30,Jessie Bates III,CIN,21,FS,16,16,3,49,31,63.30%,489,15.8,10,1,77.7,13.3,288,201,0,0,0,0,0,111,10,8.30%,BateJe00
31,Jamie Collins,CLE,29,RLB,16,16,1,75,56,74.70%,523,9.3,7,2,96.7,4.1,218,305,95,3,3,4,10,104,18,14.80%,CollJa00
32,Zach Cunningham,HOU,24,RILB,14,14,1,67,51,76.10%,466,9.1,7,3,103.2,6.2,220,246,26,2,1,0,3,107,16,13.00%,CunnZa00
33,Jarrad Davis,DET,24,MLB,16,16,0,52,36,69.20%,287,8,5.5,2,95.6,1.9,78,209,57,7,4,6,17,100,18,15.30%,DaviJa01
34,Jordan Poyer,BUF,27,FS,16,16,4,39,26,66.70%,396,15.2,10.2,4,94.6,12.4,277,119,26,0,1,2,3,100,15,13.00%,PoyeJo00
35,Damarious Randall,CLE,26,SS,15,15,4,60,36,60.00%,556,15.4,9.3,3,79.6,15.5,387,169,8,1,0,0,1,85,10,10.50%,RandDa00
36,Justin Simmons,DEN,25,FS,16,16,3,76,54,71.10%,665,12.3,8.8,3,94.5,9.3,405,260,17,2,0,0,2,97,9,8.50%,SimmJu00
37,Kareem Jackson,HOU,30,RCB,16,16,2,87,57,65.50%,660,11.6,7.6,2,86.4,8.4,397,263,15,1,0,1,2,87,13,13.00%,JackKa99
38,Tyrann Mathieu,HOU,26,SS,16,16,2,79,52,65.80%,590,11.3,7.5,5,98.6,8.1,324,266,27,1,1,3,5,89,8,8.20%,MathTy00
39,C.J. Mosley*,BAL,26,LILB,15,15,1,59,37,62.70%,348,9.4,5.9,3,88.8,5.1,204,144,115,4,1,0.5,6,105,7,6.30%,MoslC.00
40,Justin Reid,HOU,21,FS,16,12,3,43,28,65.10%,474,16.9,11,3,96.5,13.7,348,126,8,1,1,0,2,88,7,7.40%,ReidJu00
41,Zach Brown,WAS,29,LILB,16,12,0,49,36,73.50%,265,7.4,5.4,0,85.8,2.6,85,180,30,3,1,1,5,96,7,6.80%,BrowZa00
42,Raekwon McMillan,MIA,23,MLB,16,16,0,39,32,82.10%,374,11.7,9.6,6,146.2,5,185,189,20,2,0,0,2,105,9,7.90%,McMiRa02
43,Anthony Walker,IND,23,MLB,15,14,1,51,37,72.50%,338,9.1,6.6,4,108.1,3.5,132,206,18,0,0,1,1,105,15,12.50%,WalkAn01
44,Wesley Woodyard,TEN,32,LILB,14,14,0,45,30,66.70%,331,11,7.4,1,95.7,4.5,162,169,40,2,1,4.5,8,113,11,8.90%,WoodWe20
45,Nigel Bradham,PHI,29,RLB,15,15,0,69,50,72.50%,463,9.3,6.7,2,100.1,3.3,114,349,42,2,2,2,6,97,10,9.30%,BradNi00
46,Landon Collins*,NYG,24,SS,12,12,0,59,40,67.80%,530,13.3,9,3,113,8.6,338,192,22,3,2,0,5,96,9,8.60%,CollLa00
47,Adoree' Jackson,TEN,23,RCB,16,13,2,115,65,56.50%,844,13,7.3,6,89.9,12.3,588,256,8,0,0,0,0,73,7,8.80%,JackAd00
48,Harrison Smith*,MIN,29,FS,16,16,3,48,27,56.30%,307,11.4,6.4,2,63.5,10.5,223,84,32,4,1,3,8,84,4,4.50%,SmitHa00
49,Tre Boston,ARI,26,DB,14,13,3,45,25,55.60%,357,14.3,7.9,5,90.7,11.8,240,117,12,1,1,0,2,79,9,10.20%,BostTr00
50,Bradley McDougald,SEA,28,SS,16,16,3,60,46,76.70%,535,11.6,8.9,5,110.1,5.9,225,310,13,1,0,0,1,78,7,8.20%,McDoBr01
51,Adrian Phillips*+,LAC,26,DB,16,7,1,65,38,58.50%,471,12.4,7.2,4,95.1,9.1,297,174,8,1,0,0,1,94,4,4.10%,PhilAd00
52,Jayon Brown,TEN,23,RILB,16,9,1,56,35,62.50%,274,7.8,4.9,0,67.1,3.9,100,174,71,2,3,6,12,97,10,9.30%,BrowJa06
